"",gene_set,over_represented_pvalue,under_represented_pvalue,numSIGInCat,numInCat,SIGgene_ensembl,SIGgene_symbol,All_gene_ensembl,All_gene_symbol,Ave_value_all_gene
"1",GO_CONDENSED_NUCLEAR_CHROMOSOME,0.0015836103572544,0.999438688255108,17,66,ENSG00000012048|ENSG00000062650|ENSG00000076242|ENSG00000100242|ENSG00000100814|ENSG00000136273|ENSG00000138095|ENSG00000139618|ENSG00000141867|ENSG00000148700|ENSG00000149636|ENSG00000159788|ENSG00000167842|ENSG00000172613|ENSG00000180198|ENSG00000184402|ENSG00000186575,BRCA1|WAPL|MLH1|SUN2|CCNB1IP1|HUS1|LRPPRC|BRCA2|BRD4|ADD3|DSN1|RGS12|MIS12|RAD9A|RCC1|SS18L1|NF2,ENSG00000010292|ENSG00000012048|ENSG00000051180|ENSG00000062650|ENSG00000066923|ENSG00000072501|ENSG00000076242|ENSG00000080986|ENSG00000085224|ENSG00000087586|ENSG00000100242|ENSG00000100814|ENSG00000103275|ENSG00000108055|ENSG00000110066|ENSG00000113141|ENSG00000113456|ENSG00000113522|ENSG00000115163|ENSG00000117748|ENSG00000119684|ENSG00000121152|ENSG00000121481|ENSG00000126070|ENSG00000129534|ENSG00000131165|ENSG00000131462|ENSG00000133247|ENSG00000134057|ENSG00000136273|ENSG00000138092|ENSG00000138095|ENSG00000139618|ENSG00000141696|ENSG00000141867|ENSG00000143228|ENSG00000145241|ENSG00000148700|ENSG00000149503|ENSG00000149548|ENSG00000149554|ENSG00000149636|ENSG00000151164|ENSG00000151503|ENSG00000151657|ENSG00000156970|ENSG00000159788|ENSG00000160188|ENSG00000160783|ENSG00000161609|ENSG00000161860|ENSG00000163781|ENSG00000164754|ENSG00000165271|ENSG00000166402|ENSG00000166851|ENSG00000167842|ENSG00000169679|ENSG00000172613|ENSG00000173599|ENSG00000175054|ENSG00000178999|ENSG00000180198|ENSG00000182149|ENSG00000184402|ENSG00000186575,NCAPD2|BRCA1|RAD51|WAPL|STAG3|SMC1A|MLH1|NDC80|ATRX|AURKA|SUN2|CCNB1IP1|UBE2I|SMC3|KMT5B|IK|RAD1|RAD50|CENPA|RPA2|MLH3|NCAPH|RNF2|AGO3|MIS18BP1|CHMP1A|TUBG1|KMT5C|CCNB1|HUS1|CENPO|LRPPRC|BRCA2|P3H4|BRD4|NUF2|CENPC|ADD3|INCENP|CCDC15|CHEK1|DSN1|RAD9B|NCAPD3|KIN|BUB1B|RGS12|RSPH1|PMF1|CCDC155|SYCE2|TOPBP1|RAD21|NOL6|TUB|PLK1|MIS12|BUB1|RAD9A|PC|ATR|AURKB|RCC1|IST1|SS18L1|NF2,4.56060606060606
"2",GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION,0.00159755830756147,0.999433253111571,17,66,ENSG00000104365|ENSG00000104413|ENSG00000106462|ENSG00000111424|ENSG00000113648|ENSG00000115415|ENSG00000124193|ENSG00000135111|ENSG00000135541|ENSG00000136451|ENSG00000137497|ENSG00000161905|ENSG00000168036|ENSG00000168066|ENSG00000169884|ENSG00000183943|ENSG00000221926,IKBKB|ESRP1|EZH2|VDR|H2AFY|STAT1|SRSF6|TBX3|AHI1|VEZF1|NUMA1|ALOX15|CTNNB1|SF1|WNT10B|PRKX|TRIM16,ENSG00000002330|ENSG00000048649|ENSG00000062822|ENSG00000067182|ENSG00000067955|ENSG00000079385|ENSG00000079999|ENSG00000080298|ENSG00000082212|ENSG00000082701|ENSG00000083307|ENSG00000087274|ENSG00000088002|ENSG00000099284|ENSG00000101384|ENSG00000104365|ENSG00000104413|ENSG00000105723|ENSG00000106462|ENSG00000106615|ENSG00000109101|ENSG00000111424|ENSG00000113141|ENSG00000113648|ENSG00000115415|ENSG00000116285|ENSG00000118263|ENSG00000122966|ENSG00000124151|ENSG00000124193|ENSG00000125686|ENSG00000125850|ENSG00000125931|ENSG00000129757|ENSG00000133116|ENSG00000133794|ENSG00000134317|ENSG00000134318|ENSG00000134852|ENSG00000135047|ENSG00000135111|ENSG00000135541|ENSG00000136451|ENSG00000137497|ENSG00000137693|ENSG00000138688|ENSG00000139567|ENSG00000143437|ENSG00000147155|ENSG00000148400|ENSG00000153162|ENSG00000159216|ENSG00000161905|ENSG00000168036|ENSG00000168066|ENSG00000168621|ENSG00000169083|ENSG00000169884|ENSG00000170421|ENSG00000173757|ENSG00000178878|ENSG00000183943|ENSG00000185920|ENSG00000197063|ENSG00000221926|ENSG00000243678,BAD|RSF1|POLD1|TNFRSF1A|CBFB|CEACAM1|KEAP1|RFX3|ME2|GSK3B|GRHL2|ADD1|SULT2B1|H2AFY2|JAG1|IKBKB|ESRP1|GSK3A|EZH2|RHEB|FOXN1|VDR|IK|H2AFY|STAT1|ERRFI1|KLF7|CIT|NCOA3|SRSF6|MED1|OVOL2|CITED1|CDKN1C|KL|ARNTL|GRHL1|ROCK2|CLOCK|CTSL|TBX3|AHI1|VEZF1|NUMA1|YAP1|KIAA1109|ACVRL1|ARNT|EBP|NOTCH1|BMP6|RUNX1|ALOX15|CTNNB1|SF1|GDNF|AR|WNT10B|KRT8|STAT5B|APOLD1|PRKX|PTCH1|MAFG|TRIM16|NME2,4.60606060606061
"3",GO_DOPAMINERGIC_NEURON_DIFFERENTIATION,0.00276967786932672,0.999555976792149,7,15,ENSG00000062485|ENSG00000129514|ENSG00000136944|ENSG00000138798|ENSG00000141551|ENSG00000163785|ENSG00000168036,CS|FOXA1|LMX1B|EGF|CSNK1D|RYK|CTNNB1,ENSG00000062485|ENSG00000070018|ENSG00000082701|ENSG00000100644|ENSG00000112715|ENSG00000129514|ENSG00000136944|ENSG00000138798|ENSG00000141551|ENSG00000145050|ENSG00000157601|ENSG00000163785|ENSG00000168036|ENSG00000185010|ENSG00000213923,CS|LRP6|GSK3B|HIF1A|VEGFA|FOXA1|LMX1B|EGF|CSNK1D|MANF|MX1|RYK|CTNNB1|F8|CSNK1E,5.93333333333333
"4",GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION,0.00422363630489072,0.998981354705851,9,25,ENSG00000111424|ENSG00000113648|ENSG00000135541|ENSG00000136451|ENSG00000137497|ENSG00000161905|ENSG00000168036|ENSG00000169884|ENSG00000221926,VDR|H2AFY|AHI1|VEZF1|NUMA1|ALOX15|CTNNB1|WNT10B|TRIM16,ENSG00000002330|ENSG00000080298|ENSG00000082212|ENSG00000087274|ENSG00000088002|ENSG00000099284|ENSG00000109101|ENSG00000111424|ENSG00000113648|ENSG00000124151|ENSG00000125686|ENSG00000125850|ENSG00000135541|ENSG00000136451|ENSG00000137497|ENSG00000139567|ENSG00000148400|ENSG00000153162|ENSG00000161905|ENSG00000168036|ENSG00000168621|ENSG00000169884|ENSG00000185920|ENSG00000221926|ENSG00000243678,BAD|RFX3|ME2|ADD1|SULT2B1|H2AFY2|FOXN1|VDR|H2AFY|NCOA3|MED1|OVOL2|AHI1|VEZF1|NUMA1|ACVRL1|NOTCH1|BMP6|ALOX15|CTNNB1|GDNF|WNT10B|PTCH1|TRIM16|NME2,5.56
"5",GO_MODIFICATION_OF_POSTSYNAPTIC_STRUCTURE,0.00506921565956527,0.999086483007422,7,15,ENSG00000070087|ENSG00000085733|ENSG00000112290|ENSG00000115414|ENSG00000124214|ENSG00000132970|ENSG00000168066,PFN2|CTTN|WASF1|FN1|STAU1|WASF3|SF1,ENSG00000006740|ENSG00000015285|ENSG00000067560|ENSG00000070087|ENSG00000083937|ENSG00000085733|ENSG00000089820|ENSG00000108518|ENSG00000112290|ENSG00000115414|ENSG00000124214|ENSG00000132970|ENSG00000133026|ENSG00000168066|ENSG00000169083,ARHGAP44|WAS|RHOA|PFN2|CHMP2B|CTTN|ARHGAP4|PFN1|WASF1|FN1|STAU1|WASF3|MYH10|SF1|AR,6.4
"6",GO_FIBROBLAST_PROLIFERATION,0.00548793531073799,0.998088440070077,13,52,ENSG00000062650|ENSG00000108590|ENSG00000115414|ENSG00000128309|ENSG00000138798|ENSG00000140464|ENSG00000164258|ENSG00000164751|ENSG00000164938|ENSG00000168036|ENSG00000178685|ENSG00000178971|ENSG00000253729,WAPL|MED31|FN1|MPST|EGF|PML|NDUFS4|PEX2|TP53INP1|CTNNB1|PARP10|CTC1|PRKDC,ENSG00000017427|ENSG00000027847|ENSG00000062650|ENSG00000069482|ENSG00000075426|ENSG00000084073|ENSG00000087088|ENSG00000097046|ENSG00000102119|ENSG00000104973|ENSG00000108175|ENSG00000108590|ENSG00000110171|ENSG00000115414|ENSG00000118260|ENSG00000118513|ENSG00000119401|ENSG00000124762|ENSG00000128309|ENSG00000132170|ENSG00000134057|ENSG00000134371|ENSG00000135336|ENSG00000135446|ENSG00000135829|ENSG00000136104|ENSG00000136848|ENSG00000138798|ENSG00000140464|ENSG00000141510|ENSG00000143799|ENSG00000151876|ENSG00000156515|ENSG00000156860|ENSG00000159256|ENSG00000164258|ENSG00000164751|ENSG00000164938|ENSG00000167984|ENSG00000167996|ENSG00000168036|ENSG00000169083|ENSG00000176046|ENSG00000176170|ENSG00000178685|ENSG00000178971|ENSG00000183087|ENSG00000188064|ENSG00000196712|ENSG00000197461|ENSG00000213930|ENSG00000253729,IGF1|B4GALT7|WAPL|GAL|FOSL2|ZMPSTE24|BAX|CDC7|EMD|MED25|ZMIZ1|MED31|TRIM3|FN1|CREB1|MYB|TRIM32|CDKN1A|MPST|PPARG|CCNB1|CDC73|ORC3|CDK4|DHX9|RNASEH2B|DAB2IP|EGF|PML|TP53|PARP1|FBXO4|HK1|FBRS|MORC3|NDUFS4|PEX2|TP53INP1|NLRC3|FTH1|CTNNB1|AR|NUPR1|SPHK1|PARP10|CTC1|GAS6|WNT7B|NF1|PDGFA|GALT|PRKDC,4.53846153846154
"7",GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION,0.00572884577142966,0.999189320177666,5,14,ENSG00000106462|ENSG00000115415|ENSG00000124193|ENSG00000135111|ENSG00000168036,EZH2|STAT1|SRSF6|TBX3|CTNNB1,ENSG00000082701|ENSG00000083307|ENSG00000101384|ENSG00000105723|ENSG00000106462|ENSG00000115415|ENSG00000122966|ENSG00000124193|ENSG00000125931|ENSG00000135111|ENSG00000137693|ENSG00000139567|ENSG00000148400|ENSG00000168036,GSK3B|GRHL2|JAG1|GSK3A|EZH2|STAT1|CIT|SRSF6|CITED1|TBX3|YAP1|ACVRL1|NOTCH1|CTNNB1,3.14285714285714
"8",GO_MOLTING_CYCLE_PROCESS,0.00649923282878007,0.997478406032091,15,63,ENSG00000100242|ENSG00000101311|ENSG00000104290|ENSG00000105699|ENSG00000115904|ENSG00000128309|ENSG00000137497|ENSG00000138798|ENSG00000168036|ENSG00000168066|ENSG00000169884|ENSG00000173039|ENSG00000196591|ENSG00000197535|ENSG00000213918,SUN2|FERMT1|FZD3|LSR|SOS1|MPST|NUMA1|EGF|CTNNB1|SF1|WNT10B|RELA|HDAC2|MYO5A|DNASE1,ENSG00000006607|ENSG00000010361|ENSG00000037474|ENSG00000048649|ENSG00000062038|ENSG00000066468|ENSG00000069482|ENSG00000075275|ENSG00000084073|ENSG00000100242|ENSG00000100991|ENSG00000101311|ENSG00000102871|ENSG00000104290|ENSG00000104884|ENSG00000105699|ENSG00000106689|ENSG00000109101|ENSG00000115170|ENSG00000115904|ENSG00000116478|ENSG00000120370|ENSG00000127863|ENSG00000128309|ENSG00000130702|ENSG00000134982|ENSG00000135503|ENSG00000137497|ENSG00000138798|ENSG00000144749|ENSG00000146909|ENSG00000147383|ENSG00000148400|ENSG00000151422|ENSG00000151748|ENSG00000158813|ENSG00000162601|ENSG00000162738|ENSG00000162924|ENSG00000163472|ENSG00000164066|ENSG00000164930|ENSG00000165240|ENSG00000166278|ENSG00000168036|ENSG00000168066|ENSG00000168214|ENSG00000169083|ENSG00000169884|ENSG00000170421|ENSG00000170835|ENSG00000173039|ENSG00000173083|ENSG00000173599|ENSG00000175893|ENSG00000179051|ENSG00000196591|ENSG00000196712|ENSG00000197461|ENSG00000197535|ENSG00000198728|ENSG00000205213|ENSG00000213918,FARP2|FUZ|NSUN2|RSF1|CDH3|FGFR2|GAL|CELSR1|ZMPSTE24|SUN2|TRPC4AP|FERMT1|TRADD|FZD3|ERCC2|LSR|LHX2|FOXN1|ACVR1|SOS1|HDAC1|GORAB|TNFRSF19|MPST|LAMA5|APC|ACVR1B|NUMA1|EGF|LRIG1|NOM1|NSDHL|NOTCH1|FER|SAV1|EDA|MYSM1|VANGL2|REL|TMEM79|INTU|FZD6|ATP7A|C2|CTNNB1|SF1|RBPJ|AR|WNT10B|KRT8|CEL|RELA|HPSE|PC|ZDHHC21|RCC2|HDAC2|NF1|PDGFA|MYO5A|LDB1|LGR4|DNASE1,4.55555555555556
"9",GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION,0.00744008134521027,0.996592611567421,20,96,ENSG00000062485|ENSG00000064393|ENSG00000075223|ENSG00000101346|ENSG00000105699|ENSG00000108773|ENSG00000126088|ENSG00000135111|ENSG00000136754|ENSG00000147050|ENSG00000159023|ENSG00000168036|ENSG00000168066|ENSG00000168646|ENSG00000171634|ENSG00000172819|ENSG00000184634|ENSG00000186575|ENSG00000196584|ENSG00000253729,CS|HIPK2|SEMA3C|POFUT1|LSR|KAT2A|UROD|TBX3|ABI1|KDM6A|EPB41|CTNNB1|SF1|AXIN2|BPTF|RARG|MED12|NF2|XRCC2|PRKDC,ENSG00000010361|ENSG00000010803|ENSG00000048649|ENSG00000062485|ENSG00000064309|ENSG00000064393|ENSG00000069812|ENSG00000070018|ENSG00000073536|ENSG00000075223|ENSG00000075275|ENSG00000078246|ENSG00000080815|ENSG00000083093|ENSG00000086598|ENSG00000087586|ENSG00000089094|ENSG00000099942|ENSG00000100068|ENSG00000100393|ENSG00000101346|ENSG00000101752|ENSG00000103653|ENSG00000105699|ENSG00000106078|ENSG00000106571|ENSG00000106799|ENSG00000107779|ENSG00000108511|ENSG00000108773|ENSG00000115109|ENSG00000116729|ENSG00000118898|ENSG00000121481|ENSG00000121989|ENSG00000125686|ENSG00000126088|ENSG00000126804|ENSG00000132463|ENSG00000133116|ENSG00000134107|ENSG00000135111|ENSG00000135414|ENSG00000136754|ENSG00000138385|ENSG00000138795|ENSG00000139372|ENSG00000140479|ENSG00000140807|ENSG00000143126|ENSG00000144485|ENSG00000147050|ENSG00000148400|ENSG00000157216|ENSG00000159023|ENSG00000162337|ENSG00000162738|ENSG00000163349|ENSG00000163389|ENSG00000166225|ENSG00000166278|ENSG00000166949|ENSG00000167081|ENSG00000167193|ENSG00000168036|ENSG00000168066|ENSG00000168214|ENSG00000168505|ENSG00000168646|ENSG00000169071|ENSG00000169083|ENSG00000170835|ENSG00000171634|ENSG00000171843|ENSG00000172819|ENSG00000173599|ENSG00000174951|ENSG00000175197|ENSG00000175387|ENSG00000178585|ENSG00000179051|ENSG00000182220|ENSG00000184058|ENSG00000184634|ENSG00000185010|ENSG00000185630|ENSG00000186575|ENSG00000188290|ENSG00000196584|ENSG00000196712|ENSG00000197121|ENSG00000197429|ENSG00000198728|ENSG00000198734|ENSG00000204217|ENSG00000253729,FUZ|SCMH1|RSF1|CS|CDON|HIPK2|HES2|LRP6|NLE1|SEMA3C|CELSR1|TULP3|PSEN1|PALB2|TMED2|AURKA|KDM2B|CRKL|LRP5L|EP300|POFUT1|MIB1|CSK|LSR|COBL|GLI3|TGFBR1|BMPR1A|HOXB6|KAT2A|EPB41L5|WLS|PPL|RNF2|ACVR2A|MED1|UROD|ZBTB1|GRSF1|KL|BHLHE40|TBX3|GDF11|ABI1|SSB|LEF1|TDG|PCSK6|NKD1|CELSR2|HES6|KDM6A|NOTCH1|SSBP3|EPB41|LRP5|VANGL2|HIPK1|POGLUT1|FRS2|C2|SMAD3|PBX3|CRK|CTNNB1|SF1|RBPJ|GBX2|AXIN2|ROR2|AR|CEL|BPTF|MLLT3|RARG|PC|FUT1|DDIT3|SMAD2|CTNNBIP1|RCC2|ATP6AP2|TBX1|MED12|F8|PBX1|NF2|HES4|XRCC2|NF1|PGAP1|IPP|LDB1|F5|BMPR2|PRKDC,4.5625
"10",GO_SEGMENTATION,0.00844012563762499,0.996893280746615,13,52,ENSG00000062485|ENSG00000075223|ENSG00000099250|ENSG00000101346|ENSG00000108773|ENSG00000135111|ENSG00000136754|ENSG00000147050|ENSG00000159023|ENSG00000168646|ENSG00000184634|ENSG00000196584|ENSG00000253729,CS|SEMA3C|NRP1|POFUT1|KAT2A|TBX3|ABI1|KDM6A|EPB41|AXIN2|MED12|XRCC2|PRKDC,ENSG00000001617|ENSG00000004975|ENSG00000062485|ENSG00000069812|ENSG00000070018|ENSG00000073536|ENSG00000075223|ENSG00000080815|ENSG00000083093|ENSG00000086598|ENSG00000099250|ENSG00000100393|ENSG00000101346|ENSG00000101752|ENSG00000102977|ENSG00000103653|ENSG00000106078|ENSG00000107779|ENSG00000108773|ENSG00000115109|ENSG00000118898|ENSG00000125686|ENSG00000134107|ENSG00000135111|ENSG00000136754|ENSG00000138795|ENSG00000139372|ENSG00000140479|ENSG00000140807|ENSG00000143033|ENSG00000144485|ENSG00000147050|ENSG00000148400|ENSG00000159023|ENSG00000163389|ENSG00000166225|ENSG00000166278|ENSG00000166949|ENSG00000168214|ENSG00000168646|ENSG00000169071|ENSG00000169083|ENSG00000171843|ENSG00000173599|ENSG00000174951|ENSG00000179051|ENSG00000184634|ENSG00000188290|ENSG00000196584|ENSG00000197429|ENSG00000198734|ENSG00000253729,SEMA3F|DVL2|CS|HES2|LRP6|NLE1|SEMA3C|PSEN1|PALB2|TMED2|NRP1|EP300|POFUT1|MIB1|ACD|CSK|COBL|BMPR1A|KAT2A|EPB41L5|PPL|MED1|BHLHE40|TBX3|ABI1|LEF1|TDG|PCSK6|NKD1|MTF2|HES6|KDM6A|NOTCH1|EPB41|POGLUT1|FRS2|C2|SMAD3|RBPJ|AXIN2|ROR2|AR|MLLT3|PC|FUT1|RCC2|MED12|HES4|XRCC2|IPP|F5|PRKDC,4.78846153846154
